Year,State,City,Miles,Company
1894,Indiana,Muncie,8,Citizens' Street Railway Co.
1894,Indiana,New Albany,2,Highland Railroad Co.
1894,Indiana,New Albany,7,New Albany Railway Co.
1894,Indiana,Richmond,11,Richmond City Electric Street Railway Co.
1894,Indiana,South Bend,14,South Rend & Mishawaka Street Railway Co.
1894,Indiana,Terre Haute,14,Terre Haute Electric Railway Co.
1894,Indiana,Vernon,2,North Vernon & Vernon Street Railroad Co.
1894,Indiana,Vernon,14,North Vernon & Vernon Street Railroad Co.
1894,Indiana,Vincennes,5,Vincennes Citizens' Street Railway Co.
1894,Iowa,Ames,2.25,Ames & College Railway Co.
1894,Iowa,Boone,1.75,Boone Electric Street Railway Light & Power Co.
1894,Iowa,Burlington,11,Burlington Electric Railway Co.
1894,Iowa,Carterville,1.6,People'S Street Railway Co.
1894,Iowa,Cedar Rapids,14,Cedar Rapids & Marion City Railway Co.
1894,Iowa,Clinton,14,State Electric Co.
1894,Iowa,Davenport,43,Davenport & Rock Island Railway Co.
1894,Iowa,Des Moines,35,Des Moines City Railway Co.
1894,Iowa,Dubuque,13,Dubuque Light & Traction Co.
1894,Iowa,Dubuque,15,Dubuque Street Railroad Co.
1894,Iowa,Fort Madison,4,Fort Madison Street Railway Co.
1894,Iowa,Keokuk,6.5,Gate City Electric Street Railway Co.
1894,Iowa,Lyons,10,Clinton & Lyons Horse Railway Co.
1894,Iowa,Marshalltown,3.5,"Marshalltown Light, Power & Railway Co."
1894,Iowa,Muscatine,7.25,Muscatine Electric Railway Co.
1894,Iowa,Ottumwa,7.25,Ottumwa Electric Railway Co.
1894,Iowa,Red Oak,1.5,Red Oak Street Railroad Co.
1894,Iowa,Sioux City,9,Riverside Park Railway Co.
1894,Iowa,Sioux City,5.6,Sioux City & Leeds Electric Railway Co.
1894,Iowa,Sioux City,6,Sioux City & Morning Side Railway Co.
1894,Iowa,Sioux City,7,Sioux City Cable Railway Co.
1894,Iowa,Sioux City,5,Sioux City Rapid Transit Co.
1894,Iowa,Sioux City,21.25,Sioux City Traction Co.
1894,Iowa,Sioux City,4.5,Washington Park & Spring Grove Railway Co.
1894,Iowa,Waterloo,2,Waterloo Street Railway Co.
1894,Kansas,Atchison,8.5,Atchison Railway & Light Co.
1894,Kansas,Cottonwood Falls,1.5,Consolidated Street Railway Co.
1894,Kansas,Emporia,3.5,Emporia City Railway Co.
1894,Kansas,Fort Scott,8.5,Fort Scott Rapid Transit Co.
1894,Kansas,Hutchinson,12,Hutchinson Street Railway Co.
1894,Kansas,Lawrence,5.5,Lawrence Transportation Co.
1894,Kansas,Leavenworth,15,Leavenworth Electric Railroad Co.
1894,Kansas,Topeka,4,Topeka Belt Railway Co.
1894,Kansas,Topeka,35,Topeka Railway Co.
1894,Kansas,Topeka,6.5,West Side Circle Railway Co.
1894,Kansas,Wichita,25,Wichita Electric Railway & Light Co.
1894,Kansas,Winfield,5,Union Street Railway Co.
1894,Kentucky,Ashland,6,Ashland & Cattlettsburg Street Railway Co.
1894,Kentucky,Bowling Green,2.5,Park City Railway Co.
1894,Kentucky,Georgetown,1.25,Georgetown Street Railway Co.
1894,Kentucky,Henderson,5.25,Henderson Street Railway Co.
1894,Kentucky,Lexington,13,Passenger & Belt Railway Co.
1894,Kentucky,Lexington,2.5,Passenger & Belt Railway Co.
1894,Kentucky,Louisville,90,Louisville Railway Co.
1894,Kentucky,Louisville,2.5,Louisville Terminal Railway Co.
